student_id,pretest
MNVG5,55.0
LB2TH,48.0
ETDRG,67.0
TME5H,43.0
G8C0U,46.0
LB8XY,73.0
AEGY3,53.0
7PFTS,61.0
74LOE,64.0
EXWEA,65.0
2J7T0,37.0
UPVQB,39.0
0KZS6,47.0
RGPSQ,44.0
5IKFU,62.0
MASAB,57.0
BLF0G,41.0
S4YGT,50.0
PNXUP,79.0
0FC2B,43.0
6PQH8,56.0
C1MCZ,31.0
42NEO,51.0
H08BV,75.0
0WW6N,60.0
PN7DI,78.0
OA8E3,76.0
7FG13,75.0
AJN0V,60.0
4RRBE,67.0
6DCTV,64.0
K8KRE,58.0
ABNLD,39.0
6TTZY,45.0
HD0QR,58.0
BG9FM,42.0
EYFXR,54.0
KG5MF,35.0
LLVCV,72.0
VX97O,71.0
RFA8S,61.0
AKMB6,67.0
WEKZ0,73.0
6GLIV,37.0
IXNI7,51.0
TIVFF,40.0
GHNH4,52.0
I9OJV,58.0
I3X3Z,78.0
OCUFY,57.0
CES33,68.0
N3DMQ,57.0
TBYDV,72.0
QS03G,65.0
DQYGC,83.0
FZS9D,58.0
5T3FK,63.0
YEJFP,68.0
F9AF4,75.0
BHDD2,44.0
N2XBL,37.0
DH9JM,67.0
PWTOX,75.0
MMHV2,36.0
WIX9F,70.0
4Q94R,44.0
CRILM,32.0
SAYN0,62.0
6W3J2,44.0
C3584,71.0
KJGKN,65.0
XWMAD,59.0
8DGQQ,31.0
JSYRI,66.0
1VMNH,59.0
4GUB6,36.0
4YT5N,30.0
DTGZA,73.0
CJSVH,28.0
GOPGB,56.0
ETID2,60.0
I9AT5,65.0
G1D76,33.0
P7B9V,47.0
7PML3,56.0
EKP6D,74.0
5Z1B6,68.0
QCW77,61.0
1ZWVL,58.0
GDMQS,66.0
WUC3P,49.0
9UO4I,55.0
MMT5M,63.0
F51X9,71.0
0U8DI,68.0
XKSFM,61.0
IJKWF,55.0
4ZRL3,52.0
OBJSU,60.0
YJLKC,65.0
49F3U,62.0
U8IBL,50.0
CPQ7T,65.0
JIPLL,55.0
IXGKA,30.0
PDDSN,51.0
M401J,50.0
39K0Q,62.0
65RSM,59.0
2RA1H,63.0
BFTIU,74.0
EPWXS,52.0
OCJE3,57.0
U24U5,59.0
7JBMI,48.0
4AV4I,55.0
GNFMX,43.0
48A1T,82.0
03T0E,64.0
FNZ5V,65.0
JKPGR,47.0
7BH6I,68.0
93BY7,56.0
3431D,67.0
9E26H,46.0
ZKC14,56.0
CFH25,55.0
