student_id,school,school_setting,school_type,classroom,teaching_method,n_student,gender,lunch,pretest
W20C6,GOOBU,Urban,Public,HKF,Standard,28.0,Female,Qualifies for reduced/free lunch,34.0
A3JJP,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,36.0
UBDCF,DNQDD,Suburban,Public,PW5,Experimental,20.0,Male,Qualifies for reduced/free lunch,42.0
QQJEC,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,36.0
3SWL5,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Female,Does not qualify,66.0
1IK2C,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Qualifies for reduced/free lunch,67.0
9S1OP,GJJHK,Suburban,Public,YUC,Standard,21.0,Male,Does not qualify,47.0
MBLOL,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,47.0
U25RO,UKPGS,Suburban,Public,XXE,Standard,22.0,Male,Does not qualify,79.0
BZ38P,FBUMG,Rural,Non-public,197,Experimental,14.0,Female,Does not qualify,72.0
1SDXS,GOKXL,Rural,Public,VA6,Standard,19.0,Female,Qualifies for reduced/free lunch,40.0
YQ2AF,UAGPU,Suburban,Public,1SZ,Standard,22.0,Female,Does not qualify,64.0
X3GT7,UKPGS,Suburban,Public,PGH,Experimental,23.0,Male,Does not qualify,72.0
14KA2,ZOWMK,Urban,Public,ZBH,Standard,30.0,Male,Qualifies for reduced/free lunch,41.0
X1KJ2,GOOBU,Urban,Public,18K,Standard,31.0,Female,Does not qualify,47.0
3Z0V4,QOQTS,Urban,Public,XZ4,Standard,22.0,Male,Does not qualify,54.0
NNADP,UKPGS,Suburban,Public,08N,Standard,21.0,Male,Does not qualify,85.0
YC05X,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Does not qualify,61.0
ZJ7VU,GJJHK,Suburban,Public,X78,Standard,21.0,Male,Qualifies for reduced/free lunch,56.0
72NKS,IDGFP,Urban,Non-public,98D,Experimental,21.0,Female,Does not qualify,73.0
BG529,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Female,Does not qualify,66.0
NM0PL,ZMNYA,Suburban,Public,V77,Experimental,23.0,Female,Qualifies for reduced/free lunch,74.0
OD8GS,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,74.0
SVZZ0,UKPGS,Suburban,Public,XXE,Standard,22.0,Female,Does not qualify,77.0
B00OI,KZKKE,Rural,Public,O6A,Standard,22.0,Female,Qualifies for reduced/free lunch,42.0
6AY2E,IDGFP,Urban,Non-public,98D,Experimental,21.0,Female,Does not qualify,82.0
AAUAP,QOQTS,Urban,Public,XZ4,Standard,22.0,Female,Qualifies for reduced/free lunch,57.0
IWYXK,VVTVA,Urban,Public,YTB,Experimental,30.0,Male,Qualifies for reduced/free lunch,32.0
BAEWN,UAGPU,Suburban,Public,62L,Standard,23.0,Male,Does not qualify,61.0
N1ICX,DNQDD,Suburban,Public,2AP,Standard,27.0,Male,Qualifies for reduced/free lunch,52.0
W6N8C,CIMBB,Urban,Non-public,EID,Standard,21.0,Female,Does not qualify,69.0
LW21L,GOOBU,Urban,Public,HKF,Standard,28.0,Male,Qualifies for reduced/free lunch,31.0
F0FIP,CUQAM,Urban,Public,1Q1,Standard,28.0,Male,Does not qualify,55.0
VKX2N,ANKYI,Urban,Non-public,ZNS,Standard,21.0,Female,Does not qualify,62.0
U1FV7,ANKYI,Urban,Non-public,6OL,Standard,20.0,Male,Does not qualify,67.0
BC0AI,KZKKE,Rural,Public,5JK,Standard,24.0,Male,Qualifies for reduced/free lunch,33.0
KSX2Y,GOOBU,Urban,Public,CXC,Standard,24.0,Male,Qualifies for reduced/free lunch,33.0
4USMS,UKPGS,Suburban,Public,KXB,Experimental,18.0,Male,Does not qualify,76.0
40S5U,GJJHK,Suburban,Public,HCB,Standard,22.0,Male,Qualifies for reduced/free lunch,38.0
JVF58,QOQTS,Urban,Public,0N7,Experimental,28.0,Female,Does not qualify,43.0
IZMFR,GJJHK,Suburban,Public,HCB,Standard,22.0,Female,Qualifies for reduced/free lunch,44.0
6DY5A,UKPGS,Suburban,Public,XXE,Standard,22.0,Male,Does not qualify,82.0
JAQ11,DNQDD,Suburban,Public,ROP,Experimental,28.0,Male,Qualifies for reduced/free lunch,58.0
68TLS,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,56.0
3XNVR,GOOBU,Urban,Public,18K,Standard,31.0,Male,Qualifies for reduced/free lunch,50.0
O6C2E,GJJHK,Suburban,Public,YUC,Standard,21.0,Female,Qualifies for reduced/free lunch,44.0
03TIL,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,46.0
70JDC,VVTVA,Urban,Public,A93,Experimental,30.0,Male,Qualifies for reduced/free lunch,33.0
I4IR4,UKPGS,Suburban,Public,9AW,Standard,25.0,Male,Does not qualify,83.0
WUYJ3,GOKXL,Rural,Public,VA6,Standard,19.0,Female,Does not qualify,45.0
YAHWM,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,64.0
70GY7,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,79.0
W9Z34,ZMNYA,Suburban,Public,4NN,Standard,22.0,Male,Does not qualify,63.0
9HA2N,CIMBB,Urban,Non-public,HUJ,Experimental,17.0,Male,Does not qualify,67.0
038FI,UUUQX,Suburban,Non-public,P8I,Standard,20.0,Male,Does not qualify,67.0
CE7P3,QOQTS,Urban,Public,3XJ,Standard,24.0,Male,Does not qualify,49.0
VM3EU,KZKKE,Rural,Public,QTU,Standard,23.0,Male,Qualifies for reduced/free lunch,31.0
ICZUM,VKWQH,Rural,Public,DFQ,Experimental,19.0,Female,Does not qualify,61.0
KJB8T,LAYPA,Rural,Public,J8J,Standard,19.0,Female,Does not qualify,62.0
BOMPO,QOQTS,Urban,Public,3XJ,Standard,24.0,Female,Does not qualify,46.0
4EVEG,UUUQX,Suburban,Non-public,H7S,Experimental,16.0,Male,Does not qualify,70.0
JHKPJ,GOKXL,Rural,Public,TSA,Experimental,23.0,Female,Qualifies for reduced/free lunch,54.0
ARY9N,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,41.0
I0XVJ,CCAAW,Suburban,Non-public,UHU,Experimental,16.0,Female,Does not qualify,62.0
21IQZ,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Does not qualify,58.0
2RBHS,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,72.0
703OV,IDGFP,Urban,Non-public,XZM,Standard,17.0,Female,Does not qualify,71.0
R8YXZ,CUQAM,Urban,Public,OMI,Standard,28.0,Male,Qualifies for reduced/free lunch,52.0
BH0EA,LAYPA,Rural,Public,J8J,Standard,19.0,Male,Does not qualify,56.0
O64JQ,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Male,Qualifies for reduced/free lunch,42.0
R64X5,KZKKE,Rural,Public,5JK,Standard,24.0,Male,Qualifies for reduced/free lunch,32.0
50XI0,ZMNYA,Suburban,Public,V77,Experimental,23.0,Female,Does not qualify,77.0
REXA7,CUQAM,Urban,Public,1Q1,Standard,28.0,Female,Does not qualify,52.0
MZBQW,VKWQH,Rural,Public,341,Standard,18.0,Female,Does not qualify,48.0
0KSLY,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Does not qualify,57.0
CDRUO,OJOBU,Rural,Public,5SZ,Experimental,17.0,Female,Does not qualify,62.0
PBE3E,CIMBB,Urban,Non-public,A33,Standard,19.0,Female,Does not qualify,61.0
7IRLR,OJOBU,Rural,Public,FS3,Standard,19.0,Female,Does not qualify,62.0
DMCWG,VKWQH,Rural,Public,DFQ,Experimental,19.0,Male,Does not qualify,55.0
